Step,AgentID,pos,route,current_goal,current_activity,mental_health,physical_health,leisure,social_inclusion,self_determination,food,Höchste Preference bei Tanks,Höchste Preference bei Route,quality of life
0,0,22,[],workplace,Activity.SLEEPING,88,95,82,99,84,73,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,1,7,[],workplace,Activity.SLEEPING,75,97,84,82,82,97,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,2,5,[],workplace,Activity.SLEEPING,95,99,82,92,77,81,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,3,6,[],workplace,Activity.SLEEPING,73,95,94,93,83,73,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,4,8,[],workplace,Activity.SLEEPING,71,78,79,77,86,78,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,5,2,[],workplace,Activity.SLEEPING,92,80,74,92,82,85,PreferenceType.SOCIAL_INCLUSION,PreferenceType.GREEN_ENVIRONMENT,0
0,6,0,[],workplace,Activity.SLEEPING,91,96,72,72,81,74,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,7,2,[],workplace,Activity.SLEEPING,88,80,77,91,90,74,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,8,0,[],workplace,Activity.SLEEPING,84,99,80,76,84,80,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,9,7,[],workplace,Activity.SLEEPING,80,87,89,88,70,74,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,10,8,[],workplace,Activity.SLEEPING,97,80,89,72,95,75,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,11,2,[],workplace,Activity.SLEEPING,79,86,74,80,90,89,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,12,7,[],workplace,Activity.SLEEPING,87,77,90,97,86,84,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,13,8,[],workplace,Activity.SLEEPING,98,96,96,88,81,90,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,14,8,[],workplace,Activity.SLEEPING,72,81,90,93,99,98,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,15,8,[],workplace,Activity.SLEEPING,83,86,96,85,79,98,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,16,8,[],workplace,Activity.SLEEPING,82,94,75,96,98,91,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,17,0,[],workplace,Activity.SLEEPING,82,96,70,77,82,88,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,18,22,[],workplace,Activity.SLEEPING,84,76,91,79,73,89,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,19,8,[],workplace,Activity.SLEEPING,86,76,86,70,79,99,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,20,5,[],workplace,Activity.SLEEPING,98,88,82,92,87,81,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,21,2,[],workplace,Activity.SLEEPING,94,86,72,83,71,99,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,22,6,[],workplace,Activity.SLEEPING,74,77,89,77,89,75,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,23,5,[],workplace,Activity.SLEEPING,94,89,79,79,93,70,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,24,7,[],workplace,Activity.SLEEPING,95,85,92,87,78,98,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,25,0,[],workplace,Activity.SLEEPING,81,76,76,76,88,73,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,26,8,[],workplace,Activity.SLEEPING,70,75,80,94,87,88,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,27,5,[],workplace,Activity.SLEEPING,95,77,71,80,96,79,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,28,2,[],workplace,Activity.SLEEPING,88,93,84,77,73,97,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,29,8,[],workplace,Activity.SLEEPING,77,90,98,82,85,88,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,30,8,[],workplace,Activity.SLEEPING,79,83,83,79,82,94,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,31,0,[],workplace,Activity.SLEEPING,86,81,90,78,83,95,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,32,7,[],workplace,Activity.SLEEPING,83,71,84,72,70,78,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,33,2,[],workplace,Activity.SLEEPING,70,77,94,95,83,90,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,34,7,[],workplace,Activity.SLEEPING,91,98,93,93,82,82,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,35,2,[],workplace,Activity.SLEEPING,96,75,76,81,99,74,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,36,22,[],workplace,Activity.SLEEPING,99,85,98,73,98,93,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,37,22,[],workplace,Activity.SLEEPING,80,81,91,86,83,90,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,38,2,[],workplace,Activity.SLEEPING,85,81,84,93,95,82,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,39,5,[],workplace,Activity.SLEEPING,74,70,78,83,97,76,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,40,6,[],workplace,Activity.SLEEPING,86,95,78,83,91,79,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,41,22,[],workplace,Activity.SLEEPING,94,98,81,89,78,98,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,42,22,[],workplace,Activity.SLEEPING,82,92,79,84,98,94,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,43,8,[],workplace,Activity.SLEEPING,73,95,83,84,70,98,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,44,5,[],workplace,Activity.SLEEPING,94,91,75,93,97,74,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,45,0,[],workplace,Activity.SLEEPING,84,83,72,86,74,74,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,46,5,[],workplace,Activity.SLEEPING,97,97,86,80,76,97,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,47,2,[],workplace,Activity.SLEEPING,92,96,74,74,80,79,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,48,6,[],workplace,Activity.SLEEPING,80,80,90,89,93,78,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,49,8,[],workplace,Activity.SLEEPING,91,90,74,81,71,82,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,50,7,[],workplace,Activity.SLEEPING,85,87,74,80,94,90,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,51,0,[],workplace,Activity.SLEEPING,99,83,76,71,76,83,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,52,2,[],workplace,Activity.SLEEPING,86,95,71,76,99,96,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,53,8,[],workplace,Activity.SLEEPING,92,97,99,72,92,97,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,54,7,[],workplace,Activity.SLEEPING,80,76,72,84,77,78,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,55,0,[],workplace,Activity.SLEEPING,98,88,76,72,82,71,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,56,5,[],workplace,Activity.SLEEPING,89,86,86,89,73,89,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,57,22,[],workplace,Activity.SLEEPING,80,96,93,71,94,76,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
