Step,AgentID,pos,route,current_goal,current_activity,mental_health,physical_health,leisure,social_inclusion,self_determination,food,Höchste Preference bei Tanks,Höchste Preference bei Route,quality of life
0,0,0,[],workplace,Activity.SLEEPING,84,73,74,94,76,85,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,1,28,[],workplace,Activity.SLEEPING,82,82,97,91,88,78,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,2,27,[],workplace,Activity.SLEEPING,92,77,81,94,79,89,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,3,6,[],workplace,Activity.SLEEPING,93,73,73,82,84,99,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,4,17,[],workplace,Activity.SLEEPING,78,84,82,83,79,82,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,5,19,[],workplace,Activity.SLEEPING,85,88,97,72,70,82,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,6,7,[],workplace,Activity.SLEEPING,73,74,75,92,71,71,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,7,5,[],workplace,Activity.SLEEPING,71,73,76,91,78,79,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,8,22,[],workplace,Activity.SLEEPING,99,80,76,84,80,71,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,9,27,[],workplace,Activity.SLEEPING,92,88,89,83,70,74,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,10,17,[],workplace,Activity.SLEEPING,97,80,89,72,95,75,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,11,19,[],workplace,Activity.SLEEPING,79,86,74,80,90,89,PreferenceType.SELF_DETERMINATION,PreferenceType.GREEN_ENVIRONMENT,0
0,12,17,[],workplace,Activity.SLEEPING,77,90,97,86,84,93,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,13,0,[],workplace,Activity.SLEEPING,87,88,81,90,74,99,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,14,28,[],workplace,Activity.SLEEPING,96,99,98,90,81,73,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,15,28,[],workplace,Activity.SLEEPING,98,90,91,73,70,96,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,16,5,[],workplace,Activity.SLEEPING,91,95,95,73,73,87,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,17,28,[],workplace,Activity.SLEEPING,87,79,93,84,76,91,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,18,28,[],workplace,Activity.SLEEPING,74,95,99,86,76,86,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,19,0,[],workplace,Activity.SLEEPING,87,98,96,88,82,92,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,20,28,[],workplace,Activity.SLEEPING,75,70,94,86,72,83,PreferenceType.MENTAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,21,28,[],workplace,Activity.SLEEPING,74,71,74,77,89,77,PreferenceType.PHYSICAL_HEALTH,PreferenceType.GREEN_ENVIRONMENT,0
0,22,6,[],workplace,Activity.SLEEPING,78,94,89,79,79,93,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,23,0,[],workplace,Activity.SLEEPING,87,88,99,85,92,87,PreferenceType.LEISURE,PreferenceType.GREEN_ENVIRONMENT,0
0,24,22,[],workplace,Activity.SLEEPING,94,91,72,76,76,76,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
0,25,27,[],workplace,Activity.SLEEPING,93,87,77,86,94,87,PreferenceType.SOCIAL_INCLUSION,PreferenceType.EFFICIENCY,0
0,26,27,[],workplace,Activity.SLEEPING,93,77,75,72,78,96,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,27,7,[],workplace,Activity.SLEEPING,96,85,93,84,77,73,PreferenceType.FOOD,PreferenceType.EFFICIENCY,0
0,28,5,[],workplace,Activity.SLEEPING,88,91,89,82,85,88,PreferenceType.FOOD,PreferenceType.GREEN_ENVIRONMENT,0
0,29,17,[],workplace,Activity.SLEEPING,79,83,83,79,82,94,PreferenceType.LEISURE,PreferenceType.EFFICIENCY,0
0,30,17,[],workplace,Activity.SLEEPING,81,81,90,78,83,95,PreferenceType.SELF_DETERMINATION,PreferenceType.EFFICIENCY,0
0,31,5,[],workplace,Activity.SLEEPING,72,70,78,83,91,81,PreferenceType.PHYSICAL_HEALTH,PreferenceType.EFFICIENCY,0
0,32,6,[],workplace,Activity.SLEEPING,94,90,95,96,79,99,PreferenceType.MENTAL_HEALTH,PreferenceType.EFFICIENCY,0
